case_id,equipment_type,equipment_model,location,complaint,symptoms,root_cause,action_taken,repair_cost,repair_time_hours,urgency,maintenance_type,date_reported
CASE-0132,Air Conditioning,CoolMax 2000,Sports Complex,Continuous water drip from AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1469.04,0.7,Medium,Corrective,2026-01-31
CASE-0133,Air Conditioning,CoolMax 2000,Sports Complex,Unit is dead.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,8657.83,2.9,Critical,Corrective,2025-10-02
CASE-0134,Generator,VoltMaster 250kVA,Workshop,DG set tripped on high temp.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,6478.71,2.7,Critical,Corrective,2025-11-03
CASE-0135,Elevator,CargoMover 2000,Workshop,Cannot close elevator doors.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,1865.55,1.4,High,Corrective,2025-11-21
CASE-0136,Elevator,LiftTech Passenger 8,Sports Complex,Step hazard when exiting lift.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,13415.44,4.6,Medium,Corrective,2025-11-23
CASE-0137,Air Conditioning,DuctMaster Pro,Library,Cooling unit operates continuously but temperature does not fall.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,6060.04,2.8,Medium,Corrective,2025-11-07
CASE-0138,Generator,HeavyDuty 1000kVA,Academic Block B,Lights flickering when on DG set.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,8318.69,3.6,Critical,Preventive,2026-07-19
CASE-0139,Elevator,LiftTech Passenger 8,Auditorium,Lift is stopping slightly above floor level.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,20262.46,6.6,Medium,Corrective,2026-05-14
CASE-0140,Air Conditioning,CoolMax 2000,Parking Area,AC not turning on.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,6134.45,2.4,High,Corrective,2025-09-28
CASE-0141,Elevator,CargoMover 2000,Library,Total failure while moving.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,69706.24,11.8,Medium,Corrective,2025-11-09
CASE-0142,Air Conditioning,CoolMax 2000,Workshop,AC is running but room remains warm.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,6596.77,4.4,Medium,Corrective,2025-12-20
CASE-0143,Air Conditioning,DuctMaster Pro,Laboratory Block,No display on AC.,No power,Burnt PCB,Replaced indoor unit PCB,4552.17,2.7,Low,Corrective,2025-10-10
CASE-0144,Elevator,SkyRise 13,Laboratory Block,Total failure while moving.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,53168.44,8.5,Low,Corrective,2026-05-13
CASE-0145,Generator,PowerPlus 500kVA,Laboratory Block,Lights flickering when on DG set.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,13487.29,3.6,Medium,Corrective,2026-08-25
CASE-0146,Air Conditioning,CoolMax 2000,Workshop,AC is leaking water on the floor.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1166.86,1.4,Critical,Corrective,2026-08-06
CASE-0147,Air Conditioning,BreezeAir Split 1.5T,Auditorium,Vibrating noise from outdoor unit.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1962.74,2.1,High,Corrective,2026-06-16
CASE-0148,Elevator,CargoMover 2000,Workshop,Not leveling properly at ground floor.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,22250.89,5.8,High,Corrective,2026-06-08
CASE-0149,Air Conditioning,ChillTech Window 1.0T,Auditorium,AC is leaking water on the floor.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1461.54,1.1,Medium,Corrective,2026-07-16
CASE-0150,Air Conditioning,CoolMax 2000,Sports Complex,Indoor wall is wet near AC.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,734.78,0.9,Critical,Corrective,2026-07-01
CASE-0151,Generator,VoltMaster 250kVA,Parking Area,Generator stopped after 15 mins due to overheating.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,3523.19,4.1,Critical,Preventive,2026-02-08
CASE-0152,Air Conditioning,ChillTech Window 1.0T,Academic Block B,Indoor wall is wet near AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1499.0,0.7,Low,Corrective,2026-08-30
CASE-0153,Air Conditioning,ChillTech Window 1.0T,Academic Block A,AC not turning on.,No power,Burnt PCB,Replaced indoor unit PCB,8887.33,2.3,Critical,Corrective,2025-11-18
CASE-0154,Elevator,SkyRise 13,Parking Area,Lift broke down with people inside.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,54663.21,10.6,Critical,Corrective,2025-12-02
CASE-0155,Elevator,SkyRise 13,Auditorium,Total failure while moving.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,55624.34,9.8,High,Corrective,2026-01-11
CASE-0156,Air Conditioning,CoolMax 2000,Workshop,Indoor wall is wet near AC.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1456.77,0.6,Medium,Corrective,2026-05-11
CASE-0157,Elevator,SkyRise 13,Administrative Block,Cannot close elevator doors.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2745.93,1.6,Medium,Corrective,2026-07-10
CASE-0158,Generator,VoltMaster 250kVA,Auditorium,Backup power failure.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,5198.96,1.4,Low,Corrective,2026-03-06
CASE-0159,Elevator,SkyRise 13,Workshop,Door stuck midway.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,1596.67,1.0,High,Corrective,2026-09-12
CASE-0160,Generator,HeavyDuty 1000kVA,Auditorium,High engine temperature alarm.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,3925.31,3.4,Medium,Corrective,2026-06-13
CASE-0161,Generator,HeavyDuty 1000kVA,Sports Complex,Voltage output is fluctuating heavily.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,16657.64,3.2,High,Corrective,2026-05-26
CASE-0162,Generator,PowerPlus 500kVA,Parking Area,Voltage drops occasionally.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,14005.1,2.4,Low,Corrective,2025-10-08
CASE-0163,Generator,HeavyDuty 1000kVA,Auditorium,Backup power failure.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,6849.32,1.6,High,Corrective,2025-11-20
CASE-0164,Air Conditioning,BreezeAir Split 1.5T,Library,Cooling unit operates continuously but temperature does not fall.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,4702.02,2.3,Low,Corrective,2025-12-17
CASE-0165,Air Conditioning,BreezeAir Split 1.5T,Academic Block B,Water dripping from indoor unit.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1164.02,0.7,High,Corrective,2026-06-22
CASE-0166,Generator,VoltMaster 250kVA,Academic Block A,Backup power failure.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,7223.26,1.1,Medium,Corrective,2026-01-02
CASE-0167,Elevator,CargoMover 2000,Academic Block B,Lift broke down with people inside.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,43161.24,7.6,Low,Corrective,2025-11-09
CASE-0168,Air Conditioning,DuctMaster Pro,Workshop,Unit is dead.,No power,Burnt PCB,Replaced indoor unit PCB,5296.65,2.1,High,Corrective,2025-12-11
CASE-0169,Elevator,LiftTech Passenger 8,Administrative Block,Lift doors keep opening and closing.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2163.89,1.5,High,Corrective,2026-03-02
CASE-0170,Elevator,SkyRise 13,Auditorium,Total failure while moving.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,47725.85,11.4,Critical,Corrective,2026-06-23
CASE-0171,Generator,VoltMaster 250kVA,Library,Voltage output is fluctuating heavily.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,8913.54,3.2,Low,Corrective,2025-10-08
CASE-0172,Air Conditioning,CoolMax 2000,Academic Block A,Not cooling properly.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,4683.56,2.2,Medium,Corrective,2026-08-18
CASE-0173,Air Conditioning,ChillTech Window 1.0T,Academic Block B,No display on AC.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,6895.58,2.3,Medium,Corrective,2026-02-11
CASE-0174,Generator,VoltMaster 250kVA,Academic Block A,Generator not turning on.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,5156.78,1.7,Low,Corrective,2025-11-27
CASE-0175,Elevator,SkyRise 13,Academic Block A,Lift is stopping slightly above floor level.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,16536.27,6.8,Critical,Corrective,2026-09-18
CASE-0176,Generator,VoltMaster 250kVA,Hostel Block,Lights flickering when on DG set.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,10875.09,2.1,Low,Corrective,2026-07-28
CASE-0177,Air Conditioning,ChillTech Window 1.0T,Laboratory Block,No display on AC.,No power,Burnt PCB,Replaced indoor unit PCB,9948.18,2.6,High,Corrective,2025-10-16
CASE-0178,Air Conditioning,BreezeAir Split 1.5T,Administrative Block,AC is running but room remains warm.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,7740.29,4.6,High,Corrective,2025-12-08
CASE-0179,Generator,HeavyDuty 1000kVA,Laboratory Block,Voltage drops occasionally.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,15906.47,3.1,Low,Corrective,2025-11-15
CASE-0180,Elevator,LiftTech Passenger 8,Auditorium,Elevator emergency stopped midway.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,47257.04,7.4,High,Corrective,2026-06-23
CASE-0181,Generator,VoltMaster 250kVA,Sports Complex,High engine temperature alarm.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,4741.33,3.4,Medium,Corrective,2026-05-30
CASE-0182,Air Conditioning,CoolMax 2000,Parking Area,Abnormal sound from AC.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2022.08,1.6,Medium,Corrective,2026-02-05
CASE-0183,Generator,HeavyDuty 1000kVA,Sports Complex,Generator stopped after 15 mins due to overheating.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,3951.01,3.4,Critical,Corrective,2026-05-22
CASE-0184,Elevator,CargoMover 2000,Laboratory Block,Elevator floor alignment issue.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,20191.99,6.7,Low,Corrective,2026-03-28
CASE-0185,Generator,PowerPlus 500kVA,Administrative Block,Generator stopped after 15 mins due to overheating.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,5852.95,3.2,Critical,Corrective,2026-08-23
CASE-0186,Air Conditioning,BreezeAir Split 1.5T,Laboratory Block,Air from AC is warm.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,7416.75,3.6,Low,Corrective,2026-05-05
CASE-0187,Air Conditioning,CoolMax 2000,Laboratory Block,Continuous water drip from AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1358.41,1.1,Low,Corrective,2025-10-14
CASE-0188,Generator,VoltMaster 250kVA,Academic Block B,Backup power failure.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,9290.89,1.7,Low,Corrective,2026-03-29
CASE-0189,Generator,PowerPlus 500kVA,Sports Complex,Generator failed to start during power cut.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,10525.18,1.4,High,Corrective,2025-10-16
CASE-0190,Air Conditioning,BreezeAir Split 1.5T,Sports Complex,Indoor wall is wet near AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,908.06,1.3,Low,Corrective,2026-05-24
CASE-0191,Generator,PowerPlus 500kVA,Academic Block A,Generator failed to start during power cut.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,8498.16,1.9,Critical,Corrective,2025-09-21
CASE-0192,Air Conditioning,BreezeAir Split 1.5T,Laboratory Block,AC is running but room remains warm.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,7626.65,4.8,Low,Corrective,2026-01-02
CASE-0193,Air Conditioning,BreezeAir Split 1.5T,Academic Block B,Power on but AC doesn't start.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,4163.58,1.7,Medium,Preventive,2026-03-06
CASE-0194,Generator,PowerPlus 500kVA,Academic Block B,Engine cranks but doesn't start.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,11604.17,1.7,Critical,Corrective,2026-07-27
CASE-0195,Generator,VoltMaster 250kVA,Hostel Block,High engine temperature alarm.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,6185.19,4.5,Low,Preventive,2026-03-26
CASE-0196,Elevator,CargoMover 2000,Auditorium,Cannot close elevator doors.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,1606.59,1.0,High,Corrective,2026-08-24
CASE-0197,Air Conditioning,DuctMaster Pro,Parking Area,Water dripping from indoor unit.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,859.65,1.0,Medium,Corrective,2025-12-12
CASE-0198,Air Conditioning,BreezeAir Split 1.5T,Academic Block B,AC is leaking water on the floor.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1018.94,1.3,Medium,Corrective,2026-06-21
CASE-0199,Air Conditioning,BreezeAir Split 1.5T,Sports Complex,Power on but AC doesn't start.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,5541.82,2.6,High,Corrective,2026-02-28
CASE-0200,Air Conditioning,ChillTech Window 1.0T,Library,Vibrating noise from outdoor unit.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1318.07,1.5,Critical,Corrective,2026-06-29
CASE-0201,Elevator,SkyRise 13,Workshop,Elevator floor alignment issue.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,15274.84,5.1,High,Preventive,2026-09-13
CASE-0202,Elevator,LiftTech Passenger 8,Sports Complex,Lift broke down with people inside.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,52663.18,9.6,Medium,Corrective,2026-02-17
CASE-0203,Elevator,SkyRise 13,Parking Area,Step hazard when exiting lift.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,21352.18,4.8,Low,Corrective,2025-11-10
CASE-0204,Generator,HeavyDuty 1000kVA,Auditorium,Engine cranks but doesn't start.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,11206.3,1.2,High,Corrective,2026-06-18
CASE-0205,Generator,VoltMaster 250kVA,Auditorium,Unstable power from generator.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,11031.59,2.7,Low,Corrective,2025-09-20
CASE-0206,Air Conditioning,DuctMaster Pro,Library,Water dripping from indoor unit.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,653.99,0.8,High,Preventive,2025-11-23
CASE-0207,Elevator,CargoMover 2000,Academic Block A,Lift is stopping slightly above floor level.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,11843.5,5.9,Critical,Corrective,2025-11-23
CASE-0208,Generator,VoltMaster 250kVA,Administrative Block,High engine temperature alarm.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,5834.94,3.0,High,Corrective,2026-09-14
CASE-0209,Elevator,SkyRise 13,Sports Complex,Door stuck midway.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2116.72,1.1,Critical,Corrective,2025-12-16
CASE-0210,Elevator,LiftTech Passenger 8,Academic Block B,Lift is stopping slightly above floor level.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,14149.78,5.8,Medium,Corrective,2025-10-28
CASE-0211,Air Conditioning,ChillTech Window 1.0T,Sports Complex,Water dripping from indoor unit.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1128.0,1.3,Medium,Corrective,2025-10-16
CASE-0212,Elevator,LiftTech Passenger 8,Administrative Block,Total failure while moving.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,30493.19,6.2,Critical,Corrective,2025-11-30
CASE-0213,Elevator,LiftTech Passenger 8,Auditorium,Elevator floor alignment issue.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,20358.25,4.9,High,Corrective,2026-06-12
CASE-0214,Generator,VoltMaster 250kVA,Administrative Block,Generator failed to start during power cut.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,8526.76,1.6,High,Corrective,2026-05-26
CASE-0215,Elevator,LiftTech Passenger 8,Hostel Block,Lift suddenly stopped and passengers were stuck.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,61077.57,10.6,Critical,Preventive,2026-04-25
CASE-0216,Air Conditioning,CoolMax 2000,Administrative Block,Not cooling properly.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,3721.25,2.4,Critical,Corrective,2026-04-01
CASE-0217,Air Conditioning,BreezeAir Split 1.5T,Academic Block B,Continuous water drip from AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,574.5,0.8,Low,Corrective,2025-09-20
CASE-0218,Generator,PowerPlus 500kVA,Academic Block B,Lights flickering when on DG set.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,16899.9,3.0,Critical,Corrective,2026-06-04
CASE-0219,Generator,HeavyDuty 1000kVA,Academic Block A,Generator stopped after 15 mins due to overheating.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,5764.2,2.7,Medium,Corrective,2026-02-24
CASE-0220,Air Conditioning,DuctMaster Pro,Parking Area,Not cooling properly.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,4253.31,2.8,High,Preventive,2026-05-21
CASE-0221,Air Conditioning,CoolMax 2000,Parking Area,Continuous water drip from AC.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1398.28,0.6,Critical,Corrective,2026-02-17
CASE-0222,Generator,HeavyDuty 1000kVA,Auditorium,Backup power failure.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,8376.59,1.3,Critical,Corrective,2026-07-18
CASE-0223,Elevator,LiftTech Passenger 8,Workshop,Lift suddenly stopped and passengers were stuck.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,32961.33,10.7,Critical,Corrective,2026-03-19
CASE-0224,Generator,PowerPlus 500kVA,Library,High engine temperature alarm.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,3968.23,3.7,Medium,Preventive,2026-05-26
CASE-0225,Air Conditioning,ChillTech Window 1.0T,Laboratory Block,AC is leaking water on the floor.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,974.79,1.3,High,Corrective,2026-09-03
CASE-0226,Elevator,SkyRise 13,Hostel Block,Lift doors keep opening and closing.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3122.57,2.0,High,Corrective,2026-09-16
CASE-0227,Elevator,LiftTech Passenger 8,Hostel Block,Elevator emergency stopped midway.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,62984.62,9.8,High,Corrective,2026-04-01
CASE-0228,Elevator,LiftTech Passenger 8,Academic Block B,Step hazard when exiting lift.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,24436.55,4.5,Low,Corrective,2025-12-02
CASE-0229,Generator,HeavyDuty 1000kVA,Parking Area,Unstable power from generator.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,17633.91,3.8,Critical,Corrective,2026-03-11
CASE-0230,Elevator,LiftTech Passenger 8,Library,Lift is stopping slightly above floor level.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,16598.74,6.3,Critical,Corrective,2026-08-14
CASE-0231,Generator,PowerPlus 500kVA,Library,Backup power failure.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,8206.63,1.2,Critical,Corrective,2026-01-06
CASE-0232,Air Conditioning,ChillTech Window 1.0T,Hostel Block,Vibrating noise from outdoor unit.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1379.37,1.9,Critical,Corrective,2026-02-28
CASE-0233,Elevator,SkyRise 13,Workshop,Door stuck midway.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3527.76,1.6,Critical,Corrective,2026-02-02
CASE-0234,Air Conditioning,DuctMaster Pro,Academic Block A,Power on but AC doesn't start.,No power,Burnt PCB,Replaced indoor unit PCB,9239.7,3.0,Critical,Corrective,2026-05-31
CASE-0235,Generator,VoltMaster 250kVA,Administrative Block,Voltage output is fluctuating heavily.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,8296.07,2.5,Critical,Corrective,2025-12-16
CASE-0236,Elevator,LiftTech Passenger 8,Laboratory Block,Elevator door not closing completely.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,1920.83,2.3,High,Corrective,2026-05-20
CASE-0237,Air Conditioning,CoolMax 2000,Library,Unit is dead.,Display blank,Burnt PCB,Replaced indoor unit PCB,9288.95,2.4,Critical,Corrective,2026-08-23
CASE-0238,Generator,PowerPlus 500kVA,Academic Block A,Engine cranks but doesn't start.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,6515.59,1.5,Low,Corrective,2026-05-01
CASE-0239,Air Conditioning,DuctMaster Pro,Library,Indoor wall is wet near AC.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,618.45,1.3,High,Corrective,2026-02-22
CASE-0240,Air Conditioning,CoolMax 2000,Laboratory Block,No display on AC.,Display blank,Burnt PCB,Replaced indoor unit PCB,6497.69,3.0,Low,Corrective,2026-03-09
CASE-0241,Elevator,CargoMover 2000,Hostel Block,Lift suddenly stopped and passengers were stuck.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,45259.91,10.5,Critical,Corrective,2025-12-05
CASE-0242,Generator,VoltMaster 250kVA,Academic Block A,Unstable power from generator.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,11293.2,3.7,Medium,Corrective,2026-05-25
CASE-0243,Elevator,SkyRise 13,Workshop,Step hazard when exiting lift.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,19769.1,7.2,Low,Corrective,2026-04-30
CASE-0244,Air Conditioning,CoolMax 2000,Parking Area,Unit is making a loud buzzing sound.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1897.45,2.0,Critical,Corrective,2026-04-10
CASE-0245,Generator,HeavyDuty 1000kVA,Workshop,Lights flickering when on DG set.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,14098.4,2.9,Medium,Corrective,2026-09-14
CASE-0246,Elevator,SkyRise 13,Hostel Block,Total failure while moving.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,63766.66,8.2,Medium,Corrective,2025-10-16
CASE-0247,Air Conditioning,CoolMax 2000,Sports Complex,Cooling unit operates continuously but temperature does not fall.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,5303.57,3.7,High,Corrective,2026-02-17
CASE-0248,Elevator,SkyRise 13,Library,Lift broke down with people inside.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,55843.23,8.7,Critical,Corrective,2026-04-04
CASE-0249,Elevator,CargoMover 2000,Library,Total failure while moving.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,63848.57,6.8,Critical,Corrective,2026-05-29
CASE-0250,Elevator,SkyRise 13,Academic Block A,Elevator emergency stopped midway.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,33745.93,7.2,Medium,Corrective,2026-06-26
